lat,lon,deltaN,topo
-89.500000,1.499995,76.243731,-1735890.662681
-89.500000,2.499995,76.322435,-1735868.692931
-89.500000,3.499995,76.401977,-1735847.310086
-89.500000,4.499995,76.482223,-1735826.368555
-89.500000,5.499995,76.563040,-1735805.729307
-89.500000,6.499995,76.644298,-1735785.261819
-89.500000,7.499995,76.725866,-1735764.845900
-89.500000,8.499995,76.807618,-1735744.373361
-89.500000,9.499995,76.889431,-1735723.749509
-89.500000,10.499995,76.971187,-1735702.894447
-89.500000,11.499995,77.052768,-1735681.744154
-89.500000,12.499995,77.134065,-1735660.251345
-89.500000,13.499995,77.214972,-1735638.386089
-89.500000,14.499995,77.295389,-1735616.136179
-89.500000,15.499995,77.375221,-1735593.507257
-89.500000,16.499995,77.454379,-1735570.522687
-89.500000,17.499995,77.532780,-1735547.223184
-89.500000,18.499994,77.610346,-1735523.666205
-89.500000,19.499994,77.687006,-1735499.925124
-89.500000,20.499994,77.762695,-1735476.088181
-89.500000,21.499994,77.837354,-1735452.257256
-89.500000,22.499994,77.910929,-1735428.546468
-89.500000,23.499994,77.983373,-1735405.080625
-89.500000,24.499994,78.054643,-1735381.993563
-89.500000,25.499994,78.124703,-1735359.426393
-89.500000,26.499994,78.193521,-1735337.525681
-89.500000,27.499994,78.261070,-1735316.441612
-89.500000,28.499994,78.327330,-1735296.326136
-89.500000,29.499994,78.392282,-1735277.331165
-89.500000,30.499994,78.455915,-1735259.606808
-89.500000,31.499994,78.518220,-1735243.299714
-89.500000,32.499994,78.579193,-1735228.551509
-89.500000,33.499994,78.638832,-1735215.497381
-89.500000,34.499994,78.697143,-1735204.264816
-89.500000,35.499994,78.754130,-1735194.972503
-89.500000,36.499994,78.809806,-1735187.729429
-89.500000,37.499994,78.864182,-1735182.634162
-89.500000,38.499994,78.917277,-1735179.774331
-89.500000,39.499994,78.969109,-1735179.226312
-89.500000,40.499994,79.019701,-1735181.055095
-89.500000,41.499994,79.069079,-1735185.314346
-89.500000,42.499994,79.117271,-1735192.046638
-89.500000,43.499994,79.164308,-1735201.283842
-89.500000,44.499994,79.210223,-1735213.047651
-89.500000,45.499994,79.255051,-1735227.350226
-89.500000,46.499994,79.298831,-1735244.194931
-89.500000,47.499994,79.341603,-1735263.577135
-89.500000,48.499994,79.383407,-1735285.485050
-89.500000,49.499994,79.424289,-1735309.900586
-89.500000,50.499994,79.464292,-1735336.800184
-89.500000,51.499994,79.503463,-1735366.155610
-89.500000,52.499994,79.541850,-1735397.934682
-89.500000,53.499994,79.579500,-1735432.101909
-89.500000,54.499993,79.616463,-1735468.619014
-89.500000,55.499993,79.652788,-1735507.445345
-89.500000,56.499993,79.688523,-1735548.538130
-89.500000,57.499993,79.723719,-1735591.852608
-89.500000,58.499993,79.758422,-1735637.341987
-89.500000,59.499993,79.792681,-1735684.957271
-89.500000,60.499993,79.826543,-1735734.646931
-89.500000,61.499993,79.860051,-1735786.356449
-89.500000,62.499993,79.893249,-1735840.027734
-89.500000,63.499993,79.926179,-1735895.598438
-89.500000,64.499993,79.958879,-1735953.001196
-89.500000,65.499993,79.991387,-1736012.162795
-89.500000,66.499993,80.023737,-1736073.003326
-89.500000,67.499993,80.055961,-1736135.435327
-89.500000,68.499993,80.088086,-1736199.362956
-89.500000,69.499993,80.120140,-1736264.681215
-89.500000,70.499993,80.152146,-1736331.275274
-89.500000,71.499993,80.184123,-1736399.019898
-89.500000,72.499993,80.216090,-1736467.779019
-89.500000,73.499993,80.248061,-1736537.405478
-89.500000,74.499993,80.280048,-1736607.740943
-89.500000,75.499993,80.312063,-1736678.616040
-89.500000,76.499993,80.344112,-1736749.850687
-89.500000,77.499993,80.376203,-1736821.254654
-89.500000,78.499993,80.408340,-1736892.628351
-89.500000,79.499993,80.440526,-1736963.763831
-89.500000,80.499993,80.472765,-1737034.446006
-89.500000,81.499993,80.505059,-1737104.454072
-89.500000,82.499993,80.537410,-1737173.563108
-89.500000,83.499993,80.569823,-1737241.545841
-89.500000,84.499993,80.602301,-1737308.174551
-89.500000,85.499993,80.634849,-1737373.223076
-89.500000,86.499993,80.667474,-1737436.468896
-89.500000,87.499993,80.700186,-1737497.695259
-89.500000,88.499993,80.732997,-1737556.693317
-89.500000,89.499993,80.765921,-1737613.264224
-89.500000,90.499992,80.798977,-1737667.221180
-89.500000,91.499992,80.832186,-1737718.391373
-89.500000,92.499992,80.865573,-1737766.617791
-89.500000,93.499992,80.899168,-1737811.760873
-89.500000,94.499992,80.933003,-1737853.699978
-89.500000,95.499992,80.967117,-1737892.334642
-89.500000,96.499992,81.001550,-1737927.585606
-89.500000,97.499992,81.036348,-1737959.395605
-89.500000,98.499992,81.071561,-1737987.729906
-89.500000,99.499992,81.107241,-1738012.576584
-89.500000,100.499992,81.143443,-1738033.946552
-89.500000,101.499992,81.180228,-1738051.873327
-89.500000,102.499992,81.217657,-1738066.412567
-89.500000,103.499992,81.255793,-1738077.641367
-89.500000,104.499992,81.294701,-1738085.657350
