lat,lon,deltaN,topo
-89.500000,178.499995,85.075898,1160.797466
-89.500000,179.499995,84.676815,1185.228654
-89.500000,180.499995,84.297612,1208.672419
-89.500000,181.499995,83.938232,1231.281972
-89.500000,182.499995,83.598567,1253.206372
-89.500000,183.499995,83.278462,1274.601749
-89.500000,184.499995,82.977709,1295.613616
-89.500000,185.499995,82.696115,1316.379822
-89.500000,186.499995,82.433431,1337.032635
-89.500000,187.499995,82.189393,1357.691149
-89.500000,188.499995,81.963718,1378.463397
-89.500000,189.499995,81.756149,1399.442240
-89.500000,190.499995,81.566431,1420.705031
-89.500000,191.499995,81.394288,1442.315467
-89.500000,192.499995,81.239508,1464.316361
-89.500000,193.499995,81.101859,1486.733564
-89.500000,194.499995,80.981149,1509.577810
-89.500000,195.499995,80.877228,1532.837382
-89.500000,196.499995,80.790005,1556.483611
-89.500000,197.499995,80.719349,1580.472579
-89.500000,198.499994,80.665252,1604.740141
-89.500000,199.499994,80.627708,1629.207126
-89.500000,200.499994,80.606763,1653.780256
-89.500000,201.499994,80.602516,1678.351220
-89.500000,202.499994,80.615064,1702.800669
-89.500000,203.499994,80.644597,1726.997302
-89.500000,204.499994,80.691304,1750.801777
-89.500000,205.499994,80.755413,1774.069571
-89.500000,206.499994,80.837203,1796.646935
-89.500000,207.499994,80.936946,1818.379534
-89.500000,208.499994,81.054929,1839.115053
-89.500000,209.499994,81.191484,1858.694696
-89.500000,210.499994,81.346880,1876.965718
-89.500000,211.499994,81.521489,1893.785163
-89.500000,212.499994,81.715586,1909.005782
-89.500000,213.499994,81.929435,1922.491176
-89.500000,214.499994,82.163280,1934.122161
-89.500000,215.499994,82.417343,1943.776445
-89.500000,216.499994,82.691800,1951.344882
-89.500000,217.499994,82.986763,1956.741809
-89.500000,218.499994,83.302303,1959.878353
-89.500000,219.499994,83.638411,1960.678425
-89.500000,220.499994,83.995046,1959.093912
-89.500000,221.499994,84.371973,1955.072109
-89.500000,222.499994,84.768978,1948.570353
-89.500000,223.499994,85.185777,1939.576456
-89.500000,224.499994,85.621916,1928.071253
-89.500000,225.499994,86.076886,1914.041150
-89.500000,226.499994,86.550057,1897.503739
-89.500000,227.499994,87.040736,1878.466748
-89.500000,228.499994,87.548102,1856.938178
-89.500000,229.499994,88.071213,1832.956708
-89.500000,230.499994,88.609050,1806.548418
-89.500000,231.499994,89.160505,1777.734471
-89.500000,232.499994,89.724356,1746.565804
-89.500000,233.499994,90.299286,1713.078806
-89.500000,234.499993,90.883895,1677.300722
-89.500000,235.499993,91.476695,1639.288066
-89.500000,236.499993,92.076125,1599.082165
-89.500000,237.499993,92.680547,1556.712530
-89.500000,238.499993,93.288259,1512.238415
-89.500000,239.499993,93.897516,1465.704805
-89.500000,240.499993,94.506494,1417.144047
-89.500000,241.499993,95.113341,1366.619808
-89.500000,242.499993,95.716176,1314.183308
-89.500000,243.499993,96.313148,1259.876472
-89.500000,244.499993,96.902287,1203.771293
-89.500000,245.499993,97.481693,1145.932568
-89.500000,246.499993,98.049469,1086.420116
-89.500000,247.499993,98.603713,1025.322290
-89.500000,248.499993,99.142569,962.726140
-89.500000,249.499993,99.664204,898.718451
-89.500000,250.499993,100.166838,833.412507
-89.500000,251.499993,100.648732,766.925432
-89.500000,252.499993,101.108242,699.378563
-89.500000,253.499993,101.543791,630.916344
-89.500000,254.499993,101.953857,561.690471
-89.500000,255.499993,102.337053,491.860414
-89.500000,256.499993,102.692060,421.603459
-89.500000,257.499993,103.017675,351.105012
-89.500000,258.499993,103.312807,280.560370
-89.500000,259.499993,103.576485,210.175441
-89.500000,260.499993,103.807848,140.162059
-89.500000,261.499993,104.006197,70.742419
-89.500000,262.499993,104.170918,2.140724
-89.500000,263.499993,104.301592,-65.418227
-89.500000,264.499993,104.397865,-131.700297
-89.500000,265.499993,104.459551,-196.478414
-89.500000,266.499993,104.486647,-259.532897
-89.500000,267.499993,104.479211,-320.636811
-89.500000,268.499993,104.437499,-379.578657
-89.500000,269.499993,104.361890,-436.164026
-89.500000,270.499992,104.252884,-490.193766
-89.500000,271.499992,104.111103,-541.490675
-89.500000,272.499992,103.937316,-589.904791
-89.500000,273.499992,103.732421,-635.283642
-89.500000,274.499992,103.497359,-677.500521
-89.500000,275.499992,103.233297,-716.465137
-89.500000,276.499992,102.941454,-752.086089
-89.500000,277.499992,102.623131,-784.298449
-89.500000,278.499992,102.279718,-813.080613
-89.500000,279.499992,101.912706,-838.410124
-89.500000,280.499992,101.523650,-860.288719
-89.500000,281.499992,101.114176,-878.765158
-89.500000,282.499992,100.685952,-893.886426
-89.500000,283.499992,100.240730,-905.719087
-89.500000,284.499992,99.780240,-914.376713
-89.500000,285.499992,99.306282,-919.969287
-89.500000,286.499992,98.820722,-922.620395
-89.500000,287.499992,98.325358,-922.496919
-89.500000,288.499992,97.822034,-919.759910
-89.500000,289.499992,97.312541,-914.577817
-89.500000,290.499992,96.798706,-907.155403
-89.500000,291.499992,96.282315,-897.689468
-89.500000,292.499992,95.765109,-886.378793
-89.500000,293.499992,95.248819,-873.448952
-89.500000,294.499992,94.735071,-859.115957
-89.500000,295.499992,94.225539,-843.593937
-89.500000,296.499992,93.721727,-827.112543
-89.500000,297.499992,93.225167,-809.891066
-89.500000,298.499992,92.737253,-792.144932
-89.500000,299.499992,92.259320,-774.092857
-89.500000,300.499992,91.792625,-755.943201
-89.500000,301.499992,91.338355,-737.900271
-89.500000,302.499992,90.897558,-720.159182
-89.500000,303.499992,90.471213,-702.905541
-89.500000,304.499992,90.060266,-686.321042
-89.500000,305.499992,89.665491,-670.567658
-89.500000,306.499991,89.287592,-655.798236
-89.500000,307.499991,88.927167,-642.161593
-89.500000,308.499991,88.584734,-629.779238
-89.500000,309.499991,88.260709,-618.762804
-89.500000,310.499991,87.955383,-609.219492
-89.500000,311.499991,87.668990,-601.224448
-89.500000,312.499991,87.401672,-594.841302
-89.500000,313.499991,87.153433,-590.128547
-89.500000,314.499991,86.924239,-587.110605
-89.500000,315.499991,86.713954,-585.798401
-89.500000,316.499991,86.522367,-586.196865
-89.500000,317.499991,86.349212,-588.277519
-89.500000,318.499991,86.194099,-591.996817
-89.500000,319.499991,86.056609,-597.304558
-89.500000,320.499991,85.936261,-604.120356
-89.500000,321.499991,85.832483,-612.348463
-89.500000,322.499991,85.744684,-621.886397
-89.500000,323.499991,85.672215,-632.607033
-89.500000,324.499991,85.614395,-644.369624
-89.500000,325.499991,85.570473,-657.027490
-89.500000,326.499991,85.539723,-670.416682
-89.500000,327.499991,85.521308,-684.363843
-89.500000,328.499991,85.514442,-698.691455
-89.500000,329.499991,85.518312,-713.213168
-89.500000,330.499991,85.532066,-727.739880
-89.500000,331.499991,85.554871,-742.080879
-89.500000,332.499991,85.585873,-756.045135
-89.500000,333.499991,85.624247,-769.447375
-89.500000,334.499991,85.669166,-782.103614
-89.500000,335.499991,85.719763,-793.837046
-89.500000,336.499991,85.775260,-804.485963
-89.500000,337.499991,85.834887,-813.892559
-89.500000,338.499991,85.897847,-821.911754
-89.500000,339.499991,85.963433,-828.422392
-89.500000,340.499991,86.030908,-833.308962
-89.500000,341.499991,86.099611,-836.471622
-89.500000,342.499990,86.168908,-837.841438
-89.500000,343.499990,86.238163,-837.355553
-89.500000,344.499990,86.306840,-834.966938
-89.500000,345.499990,86.374395,-830.663558
-89.500000,346.499990,86.440368,-824.438417
-89.500000,347.499990,86.504269,-816.298061
-89.500000,348.499990,86.565723,-806.284624
-89.500000,349.499990,86.624363,-794.442994
-89.500000,350.499990,86.679876,-780.827599
-89.500000,351.499990,86.732003,-765.525590
-89.500000,352.499990,86.780509,-748.623822
-89.500000,353.499990,86.825199,-730.213979
-89.500000,354.499990,86.865934,-710.414718
-89.500000,355.499990,86.902582,-689.341238
-89.500000,356.499990,86.935095,-667.109179
-89.500000,357.499990,86.963453,-643.853468
-89.500000,358.499990,86.987625,-619.702965
-89.500000,359.499990,87.007638,-594.783725
-88.500000,0.500000,75.885907,-715.916871
-88.500000,1.500000,75.327176,-564.082932
-88.500000,2.500000,74.815548,-427.574890
-88.500000,3.500000,74.354149,-308.501084
-88.500000,4.500000,73.944132,-207.807940
-88.500000,5.500000,73.584991,-125.443882
-88.500000,6.500000,73.274636,-60.190393
-88.500000,7.500000,73.009766,-10.288934
-88.500000,8.500000,72.786514,26.286167
-88.500000,9.500000,72.600564,51.761899
-88.500000,10.500000,72.448021,68.032681
-88.500000,11.500000,72.325182,76.441877
-88.500000,12.500000,72.229576,77.731698
-88.500000,13.500000,72.159197,71.826196
-88.500000,14.500000,72.113549,57.792443
-88.500000,15.500000,72.092643,34.041818
-88.500000,16.500000,72.097280,-1.586946
-88.500000,17.500000,72.128522,-51.705661
-88.500000,18.499999,72.187925,-118.896900
-88.500000,19.499999,72.275842,-205.529355
-88.500000,20.499999,72.392517,-313.630621
-88.500000,21.499999,72.537300,-444.331307
-88.500000,22.499999,72.707934,-597.809190
-88.500000,23.499999,72.901507,-773.324603
-88.500000,24.499999,73.113931,-968.863806
-88.500000,25.499999,73.340372,-1181.328321
-88.500000,26.499999,73.574700,-1406.766091
-88.500000,27.499999,73.810987,-1640.361268
-88.500000,28.499999,74.042920,-1876.814605
-88.500000,29.499999,74.264324,-2110.625931
-88.500000,30.499999,74.469382,-2336.361386
-88.500000,31.499999,74.652885,-2549.056302
-88.500000,32.499999,74.810404,-2744.329037
-88.500000,33.499999,74.938440,-2918.717289
-88.500000,34.499999,75.034531,-3069.935574
-88.500000,35.499999,75.097272,-3196.689586
-88.500000,36.499999,75.126541,-3298.890183
-88.500000,37.499999,75.123058,-3377.687728
-88.500000,38.499999,75.088922,-3435.039210
-88.500000,39.499999,75.027177,-3473.732821
-88.500000,40.499999,74.941931,-3497.228522
-88.500000,41.499999,74.838201,-3509.171700
-88.500000,42.499999,74.721150,-3513.285487
-88.500000,43.499999,74.597245,-3513.118726
-88.500000,44.499999,74.473186,-3511.712860
-88.500000,45.499999,74.355195,-3511.474226
-88.500000,46.499999,74.250622,-3513.963714
-88.500000,47.499999,74.165587,-3519.820127
-88.500000,48.499999,74.106173,-3528.710074
-88.500000,49.499999,74.077706,-3539.301844
-88.500000,50.499999,74.084048,-3549.400678
-88.500000,51.499999,74.128972,-3556.020098
-88.500000,52.499999,74.214286,-3555.652549
-88.500000,53.499999,74.341039,-3544.449300
-88.500000,54.499998,74.509083,-3518.388458
-88.500000,55.499998,74.716678,-3473.853186
-88.500000,56.499998,74.961183,-3407.638954
-88.500000,57.499998,75.239099,-3317.133468
-88.500000,58.499998,75.546207,-3201.044972
-88.500000,59.499998,75.878123,-3059.079745
-88.500000,60.499998,76.230206,-2892.034589
-88.500000,61.499998,76.598162,-2702.369426
-88.500000,62.499998,76.978283,-2493.573180
-88.500000,63.499998,77.367730,-2270.151162
-88.500000,64.499998,77.764659,-2037.686678
-88.500000,65.499998,78.168482,-1802.206017
-88.500000,66.499998,78.579732,-1570.045969
-88.500000,67.499998,79.000009,-1347.405546
-88.500000,68.499998,79.431784,-1139.992864
-88.500000,69.499998,79.877858,-952.899703
-88.500000,70.499998,80.341800,-789.933000
-88.500000,71.499998,80.826311,-653.696867
-88.500000,72.499998,81.333462,-545.627827
-88.500000,73.499998,81.864840,-465.471870
-88.500000,74.499998,82.420216,-411.744860
-88.500000,75.499998,82.998123,-381.965632
-88.500000,76.499998,83.595522,-372.480261
-88.500000,77.499998,84.208568,-379.062590
-88.500000,78.499998,84.831580,-397.223070
-88.500000,79.499998,85.458595,-422.324194
-88.500000,80.499998,86.083133,-450.045863
-88.500000,81.499998,86.698627,-476.583863
-88.500000,82.499998,87.299081,-498.846309
-88.500000,83.499998,87.878904,-514.628363
-88.500000,84.499998,88.433482,-522.596882
-88.500000,85.499998,88.959285,-522.384169
-88.500000,86.499998,89.453881,-514.493112
-88.500000,87.499998,89.915791,-500.114815
-88.500000,88.499998,90.344645,-481.066337
-88.500000,89.499998,90.740831,-459.559661
-88.500000,90.499997,91.105347,-437.994883
-88.500000,91.499997,91.439591,-418.800456
-88.500000,92.499997,91.745148,-404.205710
-88.500000,93.499997,92.023616,-396.140461
-88.500000,94.499997,92.276463,-396.073012
-88.500000,95.499997,92.504950,-404.873062
-88.500000,96.499997,92.710111,-422.866884
-88.500000,97.499997,92.892794,-449.747927
-88.500000,98.499997,93.053766,-484.566000
-88.500000,99.499997,93.193861,-525.898762
-88.500000,100.499997,93.314160,-571.864653
-88.500000,101.499997,93.416181,-620.238817
-88.500000,102.499997,93.502058,-668.641359
-88.500000,103.499997,93.574714,-714.628446
-88.500000,104.499997,93.637893,-755.895972
-88.500000,105.499997,93.696292,-790.367145
-88.500000,106.499997,93.755486,-816.293516
-88.500000,107.499997,93.821832,-832.465601
-88.500000,108.499997,93.902309,-838.122511
-88.500000,109.499997,94.004291,-832.992399
-88.500000,110.499997,94.135305,-817.422376
-88.500000,111.499997,94.302699,-792.129682
-88.500000,112.499997,94.513405,-758.163719
-88.500000,113.499997,94.773618,-716.922407
-88.500000,114.499997,95.088543,-669.866445
-88.500000,115.499997,95.462253,-618.455463
-88.500000,116.499997,95.897516,-564.103041
-88.500000,117.499997,96.395720,-508.001503
-88.500000,118.499997,96.956919,-451.108790
-88.500000,119.499997,97.579877,-394.134203
-88.500000,120.499997,98.262219,-337.535986
-88.500000,121.499997,99.000611,-281.586798
-88.500000,122.499997,99.790977,-226.428838
-88.500000,123.499997,100.628780,-172.174683
-88.500000,124.499997,101.509177,-119.001763
-88.500000,125.499997,102.427288,-67.209424
-88.500000,126.499996,103.378352,-17.292811
-88.500000,127.499996,104.357852,30.012894
-88.500000,128.499996,105.361579,73.793342
-88.500000,129.499996,106.385637,112.968811
-88.500000,130.499996,107.426393,146.334981
-88.500000,131.499996,108.480387,172.776351
-88.500000,132.499996,109.544205,191.312854
-88.500000,133.499996,110.614349,201.170055
-88.500000,134.499996,111.687113,202.035399
-88.500000,135.499996,112.758487,194.028503
-88.500000,136.499996,113.824101,177.703601
-88.500000,137.499996,114.879226,154.182216
-88.500000,138.499996,115.918821,124.996096
-88.500000,139.499996,116.937641,91.987105
-88.500000,140.499996,117.930408,57.244674
-88.500000,141.499996,118.891944,22.888950
-88.500000,142.499996,119.817415,-9.054799
-88.500000,143.499996,120.702502,-36.826989
-88.500000,144.499996,121.543601,-59.074493
-88.500000,145.499996,122.337906,-74.879951
-88.500000,146.499996,123.083599,-83.882663
-88.500000,147.499996,123.779829,-86.256616
-88.500000,148.499996,124.426801,-82.600118
-88.500000,149.499996,125.025637,-73.925426
-88.500000,150.499996,125.578323,-61.513179
-88.500000,151.499996,126.087602,-46.748687
-88.500000,152.499996,126.556837,-31.036044
-88.500000,153.499996,126.989845,-15.657462
-88.500000,154.499996,127.390757,-1.693033
-88.500000,155.499996,127.763862,10.027545
-88.500000,156.499996,128.113521,18.960261
-88.500000,157.499996,128.444052,24.788546
-88.500000,158.499996,128.759662,27.390583
-88.500000,159.499996,129.064389,26.786882
-88.500000,160.499996,129.362102,23.018915
-88.500000,161.499996,129.656420,16.101420
-88.500000,162.499995,129.950728,5.994968
-88.500000,163.499995,130.248145,-7.460368
-88.500000,164.499995,130.551492,-24.516846
-88.500000,165.499995,130.863261,-45.434369
-88.500000,166.499995,131.185562,-70.462305
-88.500000,167.499995,131.520146,-99.732494
-88.500000,168.499995,131.868276,-133.109131
-88.500000,169.499995,132.230777,-170.176163
-88.500000,170.499995,132.608013,-210.152800
-88.500000,171.499995,132.999903,-251.842963
-88.500000,172.499995,133.405955,-293.725382
-88.500000,173.499995,133.825317,-333.994587
-88.500000,174.499995,134.256831,-370.745001
-88.500000,175.499995,134.699096,-402.127865
-88.500000,176.499995,135.150465,-426.506335
-88.500000,177.499995,135.609274,-442.815855
-88.500000,178.499995,136.073509,-450.617186
-88.500000,179.499995,136.541032,-450.236131
-88.500000,180.499995,137.009405,-443.026818
-88.500000,181.499995,137.475879,-431.187753
-88.500000,182.499995,137.937014,-417.762548
-88.500000,183.499995,138.388721,-406.492623
-88.500000,184.499995,138.826256,-401.502089
-88.500000,185.499995,139.243879,-407.134025
-88.500000,186.499995,139.635069,-427.373254
-88.500000,187.499995,139.992379,-465.662035
-88.500000,188.499995,140.307739,-524.712202
-88.500000,189.499995,140.572701,-605.835147
-88.500000,190.499995,140.778959,-709.101712
-88.500000,191.499995,140.918246,-833.332610
-88.500000,192.499995,140.983678,-975.760990
-88.500000,193.499995,140.969640,-1132.531107
-88.500000,194.499995,140.872472,-1298.923449
-88.500000,195.499995,140.690942,-1469.524963
-88.500000,196.499995,140.425808,-1638.810701
-88.500000,197.499995,140.080943,-1801.429556
-88.500000,198.499994,139.662562,-1952.674871
-88.500000,199.499994,139.179153,-2088.808256
-88.500000,200.499994,138.641076,-2207.135175
-88.500000,201.499994,138.060055,-2306.379498
-88.500000,202.499994,137.448585,-2386.569980
-88.500000,203.499994,136.819219,-2448.785527
-88.500000,204.499994,136.184112,-2495.191689
-88.500000,205.499994,135.554035,-2528.609541
-88.500000,206.499994,134.938339,-2552.090269
-88.500000,207.499994,134.344163,-2568.711740
-88.500000,208.499994,133.776276,-2581.164498
-88.500000,209.499994,133.237504,-2591.467695
-88.500000,210.499994,132.727476,-2600.834366
-88.500000,211.499994,132.244563,-2609.574378
-88.500000,212.499994,131.784765,-2617.134729
